Subject,Lecturer,Alaa Mohasseb,Alex Bennett,Alexander Gegov,Alice Good,Amanda Peart,Asim Ali,Athanasios Paraskelidis,Atefeh Khazaei,"Bander 
Al-rimy",Carrie Toptan,Claudia Iacob,Dalin Zhou,David Williams,Dongxu Gao,Elisavet Andrikopoulou,Ella Haig,Fahad Ahmad,Farzad Arabikhan,Femi Fasunlade,Grace Golcarenarenji,Hamid Khaleghzadeh,Hasheem Danbatta,Honghai Liu,Ioannis Kagalidis,Ivan Jordanov,Janka Chlebikova,Jiacheng Tan,John Cox,Julian Murphy,Katerina Kanta,Kirsten Smith,Linda Yang,Mani Ghahremani,Marjan Golmaryami ,Mark Venn,Martin Sparrius,Matt Dennis,Matthew Poole,Mo Adda,"Mohamed 
Bader",Nadim Bakhshov,Nasreen Anjum,Olumuyiwa Matthew,Paolo Serafino,Peter Bednar,Priscilla Boadi,Rahim Taheri,Rich Boakes,Rinat Khusainov,Ronel Beukman,Shelley Usher,Shikun Zhou,Sohail Safdar,Stavros Shiaeles,Taiwo Adedeji,Tamer Elboghdadly,Tobi Fajana,Uchenna Ogenyi,Valentin Adamescu,Vasileios Adamos,Xia Han,Zaynab Lamoyero,Zhaojie Ju,Eslam Amer (CREATE Team),,,,,,,
,Theoretical Computer Science,,,,,,y,,,,,,,Y,,,,,,,,,,,,,y,,,,,,,Y,,,,,,,,y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Graphics,3D Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,,y,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,
,Computer Graphics,,,,,,,,,,,,,,y,,,,,,,,,,,,,y,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,
,Computer Vision,,,,,,,,,,y,,,,y,,,,,,y,y,,Y,,,,y,Y,y,y,,,Y,,,,,,,,,,,,,,,Y,Y,,,,,y,,,,Y,,,,,,,,,,,,,
,Image Processing,,,,,,,,,,,,,,y,,,,,,,,,Y,,y,,y,Y,y,y,,,,,,,,,,,,,,,,,,Y,Y,,,,,y,,,,Y,,,,,Y,,,,,,,,
,Image super-resolution,,,,,,,,,,,,y,,y,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,
,Information Visualisation,,,,,,,,,,,,,,y,y,,,,,,,,,,,,y,,,y,,,,,,,,,,,,,,,,,,Y,,y,,y,,y,,,,Y,,,,,,,,,,,,,
,Object recognition,,,,,,,,,,,,,,y,,,,,,y,,,Y,,,,y,Y,y,,,,Y,,,,,,,,,,,,,,,Y,Y,,,y,,y,,,,Y,,,Y,,,,,,,,,,
,Simulation and modelling,,,,,,,,,,,,,,y,,,,,,,,,,,,,y,,,,,,,,,,,,Y,,,,,,,,,Y,,,,y,,y,,Y,,Y,,,,,,,,,,,,,
,Virtual Reality,,,,,,,,,,y,,,,,,,,,,,,,Y,,,,y,Y,,y,,,,,,,,,y,,,,,,,,,Y,,y,,y,,y,,,,Y,,,,,,,,,,,,,
Cyber Security / Security,Authentication,,,,,,,,,y,,,,Y,,,,,,,,,Y,,,,,,,y,y,,,,,,,,,Y,,,,,,,,,,,,,,Y,y,,,,Y,,,,Y,,,,,,,,,
,Biometrics,,,,,,,,,,,,,,Y,,,,,,,,Y,Y,,,,,,y,,,,,,,,,,,,,,,,,Y,,,,,,,Y,y,,,,Y,,,Y,Y,,,,,,,,,
,Computer Security,,,,,,y,y,,y,y,,,Y,,,,,,,,,Y,,,,,,,y,y,,,,Y,,,,,y,,,Y,,,,Y,Y,Y,Y,,,,,y,,,Y,Y,,,,,,Y,,,,,,,
,Cyber Security,,,,,,y,y,,Y,y,,,Y,,,,Y,,,,,Y,Y,,,,,,y,y,,,,Y,,Y,,,Y,,,Y,,y,y,Y,Y,Y,Y,,,y,Y,y,,,Y,,,,,Y,,Y,,,,,,,
,Distributed Denial of Service Attacks,,,,,Y,y,,,Y,,,,,,,,,,,,,Y,,,,,,,y,,,,,,,,,,Y,,,Y,,,,Y,Y,Y,,,,,Y,y,,,Y,,,,,,,Y,,,,,,,
,Engineering Secure Systems,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,Y,y,,,Y,Y,,,,,,,,,,,,,
,Formal Analysis of Security Properties,,,,,,,,,y,,,,Y,,,,,,,,,,,,,,,,y,,,,,,,,,,Y,,,,,,,Y,,,,,,,,y,,,,,,,,,,,,,,,,,
,Intrusion Detection,y,,,,,y,y,,Y,,,,,,,,,,,,y,Y,Y,,,,,,y,y,,,,,,,,,,,,Y,,,,Y,Y,,,,,,Y,y,,,Y,Y,,,,,,Y,,,,,,,
